user_id,place_id,rating
63,8024,4.6
64,9001,4.4
64,6030,4.7
64,9012,4.9
64,6001,4.9
64,6049,4.6
65,3030,4.7
65,8014,4.6
65,1003,4.7
65,8031,4.7
66,1028,4.5
66,9028,4.9
66,2008,4.8
66,7011,4.7
67,9034,4.6
67,6040,4.5
67,8011,4.6
67,6051,4.4
68,2003,4.4
68,2034,4.6
68,1036,4.6
68,7038,4.7
69,6022,4.7
69,1019,4.9
69,1018,4.6
69,2033,4.6
70,9006,5
70,6061,4.6
70,8025,4.5
71,2006,4.6
71,3016,4.6
71,7010,4.7
71,7037,4.7
72,7023,4.8
72,2029,4.4
72,8013,4.5
72,7001,4.8
73,3009,4.7
73,1016,4.6
73,2002,4.7
74,8035,4.4
74,8017,4.8
74,3008,4.8
75,9010,4.7
75,7033,5
75,2011,4.6
76,2026,4.6
76,1027,4.6
76,3006,4.8
77,3012,4.6
77,6006,4.6
77,7032,4.5
77,7014,4.7
78,7047,4.6
78,2012,4.6
78,3013,4.8
78,6020,5
78,8010,4.5
79,7020,4.6
79,3005,4.8
79,6029,4.6
79,9031,4.7
80,9014,5
80,2013,4.5
80,3017,4.8
80,3001,4.6
80,3003,5
81,1035,4.6
82,1014,4.7
82,2030,4
82,8005,4.7
83,1011,4.9
83,7031,5
84,1031,4.7
84,1010,4.4
84,9023,4
85,7046,4.6
85,9032,4.5
85,6033,4.4
86,7026,4.5
86,7009,5
86,6045,4.7
87,8034,4.9
87,6046,4.6
87,8009,4.4
88,6043,5
88,6007,4
88,2015,4.4
89,3015,4.6
89,8020,4.4
89,6015,4.7
90,6041,4.8
90,2018,4.7
90,1013,5
91,6019,4.4
91,7029,4.9
91,6003,4.7
92,1030,4.9
92,6031,5
92,3026,5
93,8030,4.6
93,1023,4.7
93,9019,4.9
94,7045,4.5
94,1007,4.6
94,7050,4.7
95,7006,4
95,6047,4.7
95,1006,4.4
96,7035,4.6
96,2021,4.7
96,9024,5
97,8003,4.6
97,9002,4.7
97,1001,4.8
98,7019,4.7
98,3022,5
98,2005,4.6
99,2025,4.5
99,7042,4.6
99,6054,4.5
100,7034,4.9
100,2022,4.6
100,8007,4.9
101,7013,4.7
101,8029,4.6
101,9020,4.9
102,3020,4.4
102,7043,4.8
102,2023,4.8
102,8002,5
